File name;Assisted to climb.Question112;Attributes.Cargo Pick Up;Attributes.Defense;Attributes.Hatch pick up;Attributes.Speed;Climb.Question111;Cross Hab Line.Question011;FC1SC.Question038;FC1SH.Question037;FC1TC.Question040;FC1TH.Question039;FC2SC.Question042;FC2SH.Question041;FC2TC.Question044;FC2TH.Question043;FC3SC.Question046;FC3SH.Question045;FC3TC.Question048;FC3TH.Question047;FC4SC.Question050;FC4SH.Question049;FC4TC.Question052;FC4TH.Question051;FR1SLC.Question030;FR1SLH.Question029;FR1SRC.Question034;FR1SRH.Question033;FR1TLC.Question032;FR1TLH.Question031;FR1TRC.Question036;FR1TRH.Question035;FR2SLC.Question022;FR2SLH.Question021;FR2SRC.Question026;FR2SRH.Question025;FR2TLC.Question024;FR2TLH.Question023;FR2TRC.Question028;FR2TRH.Question027;FR3SLC.Question014;FR3SLH.Question013;FR3SRC.Question018;FR3SRH.Question017;FR3TLC.Question016;FR3TLH.Question015;FR3TRC.Question020;FR3TRH.Question019;Help Climb to L2.Question109;Math #.Match # 1's;"Math #.Match # 10""s";Math #.Match # 100's;NC1SC.Question054;NC1SH.Question053;NC1TC.Question056;NC1TH.Question055;NC2SC.Question058;NC2SH.Question057;NC2TC.Question060;NC2TH.Question059;NC3SC.Question062;NC3SH.Question061;NC3TC.Question064;NC3TH.Question063;NC4SC.Question066;NC4SH.Question065;NC4TC.Question068;NC4TH.Question067;NR1LSC.Question092;NR1LSH.Question091;NR1LTC.Question094;NR1LTH.Question093;NR1RSC.Question099;NR1RSH.Question095;NR1RTC.Question100;NR1RTH.Question098;NR2LSH.Question083;NR2LTC.Question086;NR2LTH.Question085;NR2RSC.Question088;NR2RSH.Question087;NR2RTC.Question090;NR2RTH.Question089;NR2SLC.Question078;NR2SLC.Question084;NR3LTC.Question101;NR3RSH.Question082;NR3RTC.Question102;NR3RTH.Question079;NR3SC.Question070;NR3SH.Question069;NR3TH.Question071;Position .Question008;Start Level.Question010;Team #.Team # 10's;Team #.Team # 100's;Team #.Team # 1000's;Team #.Team #1's;help climb l3.Question110;played Defense.Question012
110;;1;1;1;1;1;1;;;1;;;;;;;;1;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;7;1;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B3;1;1;0;6;6;;
111;;0;0;0;1;3;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B2;2;4;6;7;5;;
112;;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;0;;1;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;1;1;;;1;;;;;;1;R3;2;2;2;0;3;;
113;;2;2;2;2;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;0;0;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;1;;;;1;;;;;;1;;1;;R3;1;4;6;3;1;;
114;;1;1;0;1;0;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R2;1;6;8;0;2;;
115;;0;1;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R1;2;6;8;2;9;;1
116;1;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B1;2;9;9;3;0;;
117;;0;2;0;1;0;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B2;1;9;7;7;7;;1
118;;1;1;2;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R2;2;4;7;5;0;;1
119;;0;0;0;1;3;1;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1;0;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R1;2;4;3;0;0;;
